epoch,batch,loss_group:0,loss_group:1,loss_group:2,loss_avg,acc_group:0,acc_group:1,acc_group:2,acc_avg,objective,alpha_group:0,alpha_group:1,alpha_group:2,count_group:0,count_group:1,count_group:2,count
0,8,0.7021142244338989,0.5601633787155151,0.5463184118270874,0.6018047609329223,0.49847090244293213,0.7378047704696655,0.7478260397911072,0.6630000052452087,0.602135395526886,0.3267205059528351,0.3405514061450958,0.3323516547679901,327.0,328.0,345.0,1000
1,8,0.7037835121154785,0.48874351382255554,0.4755716025829315,0.5557505049705505,0.5692771673202515,0.8358209133148193,0.8768768906593323,0.7610000038146973,0.552212296962738,0.3185182213783264,0.353786826133728,0.3279295563697815,332.0,335.0,333.0,1000
2,8,0.6887620091438293,0.4565938711166382,0.43309205770492554,0.5301733317375182,0.5948274731636047,0.9072463512420654,0.9348534345626831,0.8070000042915344,0.5229203763008117,0.3095134198665619,0.36649128794670105,0.3242185413837433,348.0,345.0,307.0,1000
3,8,0.7116882801055908,0.4209459125995636,0.41572535037994385,0.5098616189956665,0.5833332538604736,0.9331395626068115,0.9825582504272461,0.8410000057220459,0.5030421276092529,0.3026161789894104,0.37740257382392883,0.32023459672927856,312.0,344.0,344.0,1000
4,8,0.7352780103683472,0.4088451564311981,0.3911418914794922,0.5155791995525362,0.5930233001708984,0.956140398979187,1.0,0.8450000023841857,0.4986047120094299,0.2972883880138397,0.38661038875579834,0.3160964846611023,344.0,342.0,314.0,1000
5,8,0.7105984687805176,0.4004637897014618,0.3741888105869293,0.49571959042549135,0.6107783913612366,0.957020103931427,0.9684543609619141,0.8450000009536743,0.4829307763576508,0.29292619228363037,0.39633071422576904,0.3107885718345642,334.0,349.0,317.0,1000
6,8,0.711769700050354,0.38119757175445557,0.3866255283355713,0.4835478618144988,0.6085526347160339,0.9576271176338196,0.9707602262496948,0.8560000014305116,0.47806302833557124,0.2884159982204437,0.4055345058441162,0.30588051676750183,304.0,354.0,342.0,1000
7,8,0.7017764449119568,0.37124738097190857,0.395140677690506,0.4903094501495362,0.6398809552192688,0.9604862928390503,0.9522387385368347,0.8500000028610228,0.47353386068344117,0.28336793184280396,0.41552579402923584,0.30113887786865234,336.0,329.0,335.0,1000
8,8,0.7181779742240906,0.35239073634147644,0.37509042024612427,0.4763355746269226,0.5993691682815552,0.9667673110961914,0.9687500596046448,0.8510000009536743,0.4598649926185608,0.27830132842063904,0.4257543683052063,0.29611387848854065,317.0,331.0,352.0,1000
9,8,0.7099902629852295,0.36268365383148193,0.3973044753074646,0.4884751398563385,0.6341464519500732,0.9544072151184082,0.9358600378036499,0.843000002861023,0.46725033569335944,0.2743295431137085,0.43445777893066406,0.2911891043186188,328.0,329.0,343.0,1000
